OCTAPRENYL-DIPHOSPHATE	HMDB01094
CPD-14461	HMDB30820
13-HYDROPEROXYOCTADECA-911-DIENOATE	HMDB03871
CPD-1100	HMDB04942
CPD-600	HMDB03470
CPD-14115	HMDB02209
CPD-1084	HMDB03647
CPD-1002	HMDB31817
2K-4CH3-PENTANOATE	HMDB00695
CPD-3481	HMDB01510
CPD-14429	HMDB30821
STEARIC_ACID	HMDB00827
CPD-332	HMDB12215
2-KETO-GLUTARAMATE	HMDB01552
5-HYDROXYINDOLE_ACETATE	HMDB00763
CPD-16801	HMDB39853
NA+	HMDB00588
HISTAMINE	HMDB00870
CPD-10413	HMDB30822
MANNOSE-1P	HMDB06330
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	HMDB12156
CPD-110	HMDB01895
INOSINE	HMDB00195
CPD-7989	HMDB35688
CPD-8912	HMDB35698
CPD-464	HMDB03023
LYS	HMDB00182
CPDQT-273	HMDB38427
HEPTADECANE-CPD	HMDB59830
FADH2	HMDB01197
CPD-488	HMDB01265
CPD-8949	HMDB39265
PROPANOL	HMDB00820
CPD-6981	HMDB03572
S2O3	HMDB00257
N-METHYL-HISTAMINE	HMDB00898
OROTIDINE-5-PHOSPHATE	HMDB00218
TRIMETHYLSULFONIUM	HMDB12295
ACETONE	HMDB01659
CPD-520	HMDB05794
CPD-7598	HMDB04080
CPD-7847	HMDB02204
3-PYRIDYLACETIC-ACID	HMDB01538
BIPHENYL	HMDB34437
PHENYLACETALDEHYDE	HMDB06236
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	HMDB12277
CPD-196	HMDB01070
ERYTHRITOL	HMDB02994
5-HYDROXYISOURATE	HMDB30097
CPD-8610	HMDB06840
SELENOMETHIONINE	HMDB03966
CPD-7221	HMDB04257
NAPHTHALENE-12-DIOL	HMDB60497
MEVALONATE	HMDB59629
6Z8E10E14Z-5S12R-512-DIHYDROXYI	HMDB01085
PRPP	HMDB00280
DTDP-DEOH-DEOXY-GLUCOSE	HMDB01399
HS	HMDB03276
CPD-4621	HMDB12212
DUMP	HMDB01409
VANILLYL_MANDELATE	HMDB00291
BENZENE	HMDB01505
4-HYDROXY-BENZYL-ALCOHOL	HMDB11724
UROPORPHYRINOGEN-III	HMDB01086
THF	HMDB01846
PARAOXON	HMDB13035
3-KETO-ADIPATE	HMDB00398
CPD-6443	HMDB14814
CPD-923	HMDB34446
CPD-9937	HMDB32562
CPD-8718	HMDB15360
CPD-13509	HMDB30775
CPD-9776	HMDB15043
CPD-385	HMDB12133
NICOTINE	HMDB01934
BUTYRYL-COA	HMDB01088
CPD-158	HMDB02916
CPD-4	HMDB02206
UDP-D-XYLOSE	HMDB01018
SUC	HMDB00254
CPD-14860	HMDB30095
OBTUSIFOLIOL	HMDB01242
CIS-ACONITATE	HMDB00072
CPD-12906	HMDB60399
IDP	HMDB03335
PROPIONATE	HMDB00237
CPD66-26	HMDB03955
UMP	HMDB00288
CPD-12557	HMDB00853
CPD-1422	HMDB59924
CPD-10227	HMDB60483
TDP	HMDB01274
CPD-690	HMDB01083
CHOLINE	HMDB00097
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS	HMDB01220
CYS-GLY	HMDB00078
PHOSPHORIBOSYL-AMP	HMDB12276
ATRAZINE	HMDB41830
CPD-8658	HMDB29406
CPD-259	HMDB01169
CPD-292	HMDB60482
ACRYLAMIDE	HMDB04296
D-GALACTONATE	HMDB00565
CPD-734	HMDB32797
CPD-1083	HMDB02054
CPD-569	HMDB02064
CPD-353	HMDB01499
CPD0-2015	HMDB11745
TRANS-2-HEXENOL	HMDB30952
CPD0-2171	HMDB03934
CODEINE	HMDB04995
VESTITONE	HMDB31620
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	HMDB01346
GAP	HMDB01112
2-ACETO-LACTATE	HMDB06855
CL-	HMDB00492
CPD-13955	HMDB15682
NONAPRENYL-4-HYDROXYBENZOATE	HMDB32488
CPD-592	HMDB03464
CPD-9016	HMDB01182
TRYPANOTHIONE	HMDB60520
CPD-7651	HMDB00118
BENZYLSUCCINYL-COA	HMDB12129
PYRIDOXAL	HMDB01545
CPD-10358	HMDB38365
UDP-MANNAC	HMDB13112
CPD-9459	HMDB02364
GLYCOLLATE	HMDB00115
3-HYDROXYADIPYL-COA	HMDB12475
CPD-262	HMDB12206
CPD-723	HMDB33984
3-KETO-ADIPYL-COA	HMDB60378
ADENYLOSUCC	HMDB00536
SACCHAROPINE	HMDB00279
PHTHALATE	HMDB02107
CPD-8737	HMDB36154
OH	HMDB01039
2-DEHYDRO-3-DEOXY-D-GLUCONATE	HMDB01353
CPD-102	HMDB12843
CPD-4617	HMDB12214
CPD-9675	HMDB42048
CPD-8191	HMDB30786
PHENYL	HMDB33910
ETHYLENE-CMPD	HMDB29594
CPD-11945	HMDB29249
PQQ	HMDB13636
CPD-10198	HMDB40594
GLYCOLALDEHYDE	HMDB03344
CPD-9699	HMDB29427
MANNITOL	HMDB00765
CPD-68	HMDB36458
OROTATE	HMDB00226
HYDANTOIN-5-PROPIONATE	HMDB01212
CPD-665	HMDB03366
APIGENIN	HMDB29631
TRANS-23-DEHYDROADIPYL-COA	HMDB60392
XYLOSE	HMDB00098
HISTIDINOL	HMDB03431
CPD-505	HMDB01187
CPD-1001	HMDB05805
CPD-10603	HMDB59855
SANGUINARINE	HMDB29367
ETHYLACETATE	HMDB31217
PHLORETIN	HMDB03306
CPD-8851	HMDB12219
CMP	HMDB00095
CPD-13524	HMDB00305
ALPHA-TOCOPHEROL	HMDB01893
CPD-593	HMDB01522
N-ACETYL-D-GALACTOSAMINYL-13-D-GALACT	HMDB04966
CPD-4143	HMDB00852
CHOLATE	HMDB00619
44-DIMETHYL-CHOLESTA-812-24-TRIENOL	HMDB01023
THYMIDINE	HMDB00273
CPD-159	HMDB12131
CPD-4619	HMDB12202
CPD-1722	HMDB35084
AGMATHINE	HMDB01432
S-N-METHYLCOCLAURINE	HMDB60319
MIP2C	HMDB12256
3-OXODODECANOATE	HMDB10727
CPD-7417	HMDB60077
GLYCEROL	HMDB00131
CPD-12363	HMDB14834
CPD-8691	HMDB34736
LUTEOLIN-7-O-BETA-D-GLUCOSIDE	HMDB35588
S-LACTOYL-GLUTATHIONE	HMDB01066
1-7-DIMETHYLXANTHINE	HMDB01860
2-UNDECANONE	HMDB33713
CPD-465	HMDB01278
13-HYDROXY-MAGNESIUM-PROTOPORP	HMDB02379
TRICHLOROETHENE	HMDB29593
CPD-8913	HMDB29740
MI-HEXAKISPHOSPHATE	HMDB03502
CPD-8717	HMDB38172
S-HYDROXYMETHYLGLUTATHIONE	HMDB04662
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	HMDB01439
CPD-11690	HMDB11567
CPD-14856	HMDB30660
CPD-9367	HMDB30521
6-METHOXYMELLEIN	HMDB38510
CAFFEOYLSHIKIMATE	HMDB33999
PUTRESCINE	HMDB01414
CPD-10177	HMDB35208
CPD-693	HMDB35140
TARTRONATE-S-ALD	HMDB06938
CPD-4405	HMDB33901
SO3	HMDB00240
CPD-2181	HMDB00593
DEHYDROQUINATE	HMDB12710
CPD-12450	HMDB00917
ADENINE	HMDB00034
CPD-8613	HMDB12165
CPD-9261	HMDB14904
CPD-16744	HMDB30323
CPD-12825	HMDB04136
CPD-9762	HMDB35092
GALACTITOL	HMDB00107
2-COUMARATE	HMDB02641
GERANYLGERANYL-PP	HMDB04486
MALEATE	HMDB00176
3-HYDROXY-3-4-METHYLPENT-3-EN-1-YLG-COA	HMDB60372
DIHYDROXY-ACETONE-PHOSPHATE	HMDB01473
CPD-15189	HMDB00518
CPD-6202	HMDB35047
CPD-6602	HMDB02269
CPD-3344	HMDB02455
5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL	HMDB01231
DIMETHYL-GLYCINE	HMDB00092
CPD-12102	HMDB39546
DCDP	HMDB01245
SQUALENE	HMDB00256
GAMMA-BUTYROBETAINE	HMDB06831
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	HMDB01235
PHYTOL	HMDB02019
CPD-323	HMDB00921
CPD-591	HMDB02708
GLUCOSAMINE-1P	HMDB01109
CYTIDINE	HMDB00089
CPD-633	HMDB00152
CPD-10179	HMDB30475
N-ACETYL-D-MANNOSAMINE-6P	HMDB01121
CPD-9000	HMDB12161
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	HMDB59651
FORMYL-COA	HMDB03419
MPBQ	HMDB38959
CPD-4588	HMDB30591
ISOWILLARDIINE	HMDB30376
UROCANATE	HMDB00301
CPD1F-138	HMDB39484
CPD-9461	HMDB34533
INOSITOL-1-3-4-TRIPHOSPHATE	HMDB01143
CPD-8646	HMDB03896
ENTEROBACTIN	HMDB32199
CPD-10226	HMDB60436
CPD-8486	HMDB02085
TEREPHTHALATE	HMDB02428
CPD-69	HMDB02078
HEPARIN	HMDB01394
CPD-8670	HMDB12281
CPD-1095	HMDB35023
CPD-12888	HMDB36444
INOSITOL-1456-TETRAKISPHOSPHATE	HMDB04527
CPD-201	HMDB06467
CH3-MALONATE-S-ALD	HMDB02217
CPD-13315	HMDB05789
D-ALANINE	HMDB01310
CPD-568	HMDB01276
CPD-9327	HMDB12309
CPD-9175	HMDB01890
CPD-606	HMDB59599
DIHYDRONEOPTERIN-P3	HMDB00980
CPD-3483	HMDB12235
CPD-782	HMDB01336
3-BETA-HYDROXYANDROST-5-EN-17-ONE	HMDB00077
PRO	HMDB00162
L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE	HMDB06556
2-HYDROXY-23-DIHYDRODAIDZEIN	HMDB33928
CPD-14834	HMDB33439
CPD-9017	HMDB12182
INDOXYL	HMDB04094
PHOSPHORYL-CHOLINE	HMDB01565
CPD-648	HMDB60318
KYNURENATE	HMDB00715
PICOLINATE	HMDB02243
OXALATE	HMDB02329
2-3-DIHYDROXYBENZOATE	HMDB00397
CPD-531	HMDB06797
CPD-10411	HMDB38361
CPD-67	HMDB00816
DIHYDROCOUMARIN	HMDB36626
ADP-D-GLYCERO-D-MANNO-HEPTOSE	HMDB29952
CPD-13357	HMDB12141
CPD-12222	HMDB35625
LL-DIAMINOPIMELATE	HMDB01370
GMP	HMDB01397
SUC-COA	HMDB01022
CPD-58	HMDB04825
CPD-431	HMDB02124
CPD-7978	HMDB05812
CPD-16609	HMDB30540
5-HYDROXY-TRYPTOPHAN	HMDB15571
CPD-4616	HMDB12213
PHYTOSPINGOSINE	HMDB04610
CPD-479	HMDB01553
VALIDAMYCIN-A	HMDB36592
CPD-8774	HMDB29637
CPD-440	HMDB29365
CPD-1137	HMDB03377
PHYTOALEXIN-CMPD	HMDB34272
CPD-9865	HMDB60250
CPD-4890	HMDB36994
CPD-8612	HMDB12168
CPD-178	HMDB03848
L-PIPECOLATE	HMDB00716
DODECANOATE	HMDB00638
CPD-11799	HMDB60176
CPD-12193	HMDB34297
CPD1F-90	HMDB05801
14-DICHLOROBENZENE	HMDB41971
CPD-394	HMDB03661
GLN	HMDB00641
2-AMINOMUCONATE_SEMIALDEHYDE	HMDB01280
CPD-6441	HMDB33968
CPD-3422	HMDB29529
PROGESTERONE	HMDB01830
CPD-13222	HMDB35239
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	HMDB12147
6-AMINOPENICILLANATE	HMDB60618
Alpha-lactose	HMDB00186
R-NICOTINE	HMDB14330
CPD-7252	HMDB37441
CPD-7283	HMDB00951
UDP-D-GALACTURONATE	HMDB12302
K-HEXANOYL-COA	HMDB03943
D-XYLONATE	HMDB00539
TRIMETHYLAMINE	HMDB00906
CPD-4618	HMDB12201
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	HMDB12231
4-TOLUENECARBOXYLATE	HMDB29635
DEAMIDO-NAD	HMDB01179
BIOCHANIN-A	HMDB02338
NORSPERMIDINE	HMDB11634
CPD-681	HMDB31548
CPD-8233	HMDB36467
CPD-3183	HMDB01009
CPD-280	HMDB12233
CPD-9460	HMDB40851
PENTACHLOROPHENOL	HMDB41974
CPD-13893	HMDB15564
CPD-8665	HMDB02376
INDOLE_PYRUVATE	HMDB60484
OXALO-SUCCINATE	HMDB03974
BETAINE_ALDEHYDE	HMDB01252
CPD-12021	HMDB01896
MALTOTRIOSE	HMDB01262
EPISTEROL	HMDB06847
CPD-12018	HMDB04095
L-ALPHA-ALANINE	HMDB00161
CPD-12185	HMDB00745
CPD-4406	HMDB34087
PELARGONIDIN-CMPD	HMDB03263
L-ARABITOL	HMDB01851
CPD-13108	HMDB15283
CPD-14094	HMDB00992
2-FUROATE	HMDB00617
ACETOACETYL-COA	HMDB01484
INDOLEYL-CPD	HMDB06524
NAPHTHALENE	HMDB29751
MALONYL-COA	HMDB01175
BERGAPTOL	HMDB13679
CPD-5165	HMDB12122
CPD-355	HMDB00568
CPD-567	HMDB00206
CPD-5621	HMDB12296
4-IMIDAZOLEACETATE	HMDB02024
CO+2	HMDB00608
CYCLOHEXA-15-DIENE-1-CARBONYL-COA	HMDB12207
N-ACETYL-SEROTONIN	HMDB01238
CPD-8618	HMDB12169
TYLOSIN	HMDB34108
FARNESYL-PP	HMDB00961
CPD-13804	HMDB14344
UDP-GLUCURONATE	HMDB00935
CPD-649	HMDB01383
3-HEXAPRENYL-45-DIHYDROXYBENZOATE	HMDB01063
CPD-13059	HMDB11732
CPD1F-135	HMDB03020
S-ADENOSYLMETHIONINE	HMDB01185
CAPSORUBIN	HMDB36924
CPD0-1107	HMDB59625
FMN	HMDB01520
DIACETYL	HMDB03407
UDP-N-ACETYLMURAMATE	HMDB11720
CPD-10178	HMDB30474
L-THYROXINE	HMDB00248
CPD1G-277	HMDB06459
ALPHA-RIBAZOLE-5-P	HMDB03882
CPD-220	HMDB03416
CPD-8768	HMDB41633
MALONATE	HMDB00691
CPD-12724	HMDB31991
--beta-santalene	HMDB36364
CPD-10284	HMDB03935
CPD-8097	HMDB30819
CARBAMATE	HMDB03551
CPDQT-422	HMDB38417
CPD-1136	HMDB06357
CPD-9152	HMDB41810
COB-I-ALAMIN	HMDB03429
MN+2	HMDB01333
ARSENATE	HMDB12190
3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE	HMDB01455
CPD-237	HMDB29739
D-MYO-INOSITOL-4-PHOSPHATE	HMDB01313
3-HYDROXY-PROPIONYL-COA	HMDB06807
PORPHOBILINOGEN	HMDB00245
CPD-678	HMDB11110
CELLOBIOSE	HMDB00055
4-HYDROXY-L-PROLINE	HMDB00725
INDOLE-3-KETOL	HMDB38628
BERBERINE	HMDB03409
PROPANE-1-2-DIOL	HMDB06213
9FLUORENOL	HMDB59803
CPD-13223	HMDB00753
CPD-5821	HMDB59663
UBIQUINONE-10	HMDB01072
CPD-177	HMDB03850
5-METHYLTHIOADENOSINE	HMDB01173
BENZYL-ALCOHOL	HMDB03119
7-O-BETA-D-APIOFURANOSYL-12-BETA-D-GLU	HMDB30843
CPD-8680	HMDB30996
FAD	HMDB01248
CPD-10778	HMDB36523
CPD-6991	HMDB30808
2-TRANS6-TRANS-FARNESOL	HMDB04305
CPD-14493	HMDB30094
N-EE-PIPEROYL-PIPERIDINE	HMDB29377
CROTONYL-COA	HMDB02009
3-CARBOXY-3-HYDROXY-ISOCAPROATE	HMDB00402
GLUCONATE	HMDB00625
CPD-423	HMDB32175
CDP-ETHANOLAMINE	HMDB01564
BENZOYLCOA	HMDB02252
CPD-12221	HMDB31524
CPD-8693	HMDB34735
CPD-10189	HMDB11753
FERULIC-ACID	HMDB00954
CPD-8735	HMDB36995
ADENOSYLCOBINAMIDE-P	HMDB12184
CPD-14553	HMDB00302
CPD-8606	HMDB06839
PANTOTHENATE	HMDB00210
P-HYDROXY-PHENYLPYRUVATE	HMDB00707
DOCOSANOATE	HMDB00944
CPD-11377	HMDB34939
CPD-4407	HMDB34041
CPD-195	HMDB00482
L-ASPARTATE	HMDB00191
5-AMINO-LEVULINATE	HMDB01149
CPD-12006	HMDB33208
CDP	HMDB01546
GDP-D-GLUCOSE	HMDB03351
HYDROXYLAMINE	HMDB03338
CPD-7222	HMDB03712
META-XYLENE	HMDB59810
CPD-10037	HMDB04487
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	HMDB02104
CARNITINE	HMDB14721
OXYGEN-MOLECULE	HMDB01377
5-ACETAMIDOVALERATE	HMDB12175
CPD-10589	HMDB06895
6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	HMDB34105
CPD-3421	HMDB33988
CPD0-1812	HMDB11537
UDP-N-ACETYL-GALACTOSAMINE	HMDB00304
CPD-360	HMDB11676
FE+2	HMDB00692
CPD-16726	HMDB34299
ALLYL-ALCOHOL	HMDB31652
TAGATOSE-1-6-DIPHOSPHATE	HMDB06872
PHENYLACETATE	HMDB00209
2-KETO-6-ACETAMIDOCAPROATE	HMDB12150
CPD-12483	HMDB11103
CPD1F-129	HMDB00561
CPD-7630	HMDB01871
ALPHA-D-GALACTOSE	HMDB00143
PALMITALDEHYDE	HMDB01551
P3I	HMDB03379
CPD-12905	HMDB60373
CPD-15083	HMDB30614
CPD-10244	HMDB02183
DIMETHYL-D-RIBITYL-LUMAZINE	HMDB03826
CPD-8666	HMDB02398
CPD-8232	HMDB35816
3-METHYLXANTHINE	HMDB01886
7-METHYLXANTHINE	HMDB01991
INDOLE	HMDB00738
CPD-3618	HMDB01865
CPD-7200	HMDB36821
CPD-8978	HMDB12228
CPD-12020	HMDB04096
CPD-1097	HMDB06344
PROTOPINE	HMDB03920
2-HYDROXYFORMONONETIN	HMDB31720
TYR	HMDB00158
HYDROXY-UREA	HMDB15140
ERGOSTEROL	HMDB00878
TAGATOSE-6-PHOSPHATE	HMDB06873
DESMOSTEROL-CPD	HMDB02719
CPD-5166	HMDB12123
CPD-7046	HMDB00598
CPD-506	HMDB01059
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	HMDB01330
LANOSTEROL	HMDB01251
CPD-7616	HMDB59965
CPD-2743	HMDB01497
ANDROST4ENE	HMDB00053
E-PHENYLITACONYL-COA	HMDB12223
CPD-14119	HMDB03099
PPI	HMDB00250
CPD-7649	HMDB06275
VAL	HMDB00883
CPD0-2123	HMDB03939
DMSO	HMDB02151
CPD-12100	HMDB39545
CPD-844	HMDB36574
NAPHTHOL	HMDB12138
CPD0-2357	HMDB32914
CPD-9754	HMDB36455
CPD-6992	HMDB37506
CPD-7969	HMDB35915
CPD-4162	HMDB00937
CPD-9965	HMDB04258
CPD-65	HMDB34273
CPD-7409	HMDB33844
CPD-14483	HMDB11628
CPD-1843	HMDB00442
CPD-468	HMDB00510
CIS-CIS-MUCONATE	HMDB06331
CPD-14529	HMDB33945
BARBITURATE	HMDB41833
12-DICHLOROETHANE	HMDB29571
CPD-553	HMDB34934
LUTEOLIN-7-O-NEOHESPERIDOSIDE	HMDB05799
URATE	HMDB00289
BUTANEDIOL	HMDB33007
CPD-7031	HMDB06478
CPD-7843	HMDB33679
CPD-9700	HMDB29428
CPD-4222	HMDB36630
CPD-11671	HMDB01855
CPD-7079	HMDB30090
CALCIDIOL	HMDB03550
L-CYSTATHIONINE	HMDB00099
CPD-1142	HMDB03546
STEAROYL-COA	HMDB01114
GLUTARATE	HMDB00661
L-THREONINE-O-3-PHOSPHATE	HMDB11185
LINOLENOYL-COA	HMDB06290
ISOVITEXIN-2-O-B-D-GLUCOSIDE	HMDB29484
CPD-11877	HMDB04063
UBIQUINONE-9	HMDB06707
CPD-12435	HMDB39721
ESTRONE	HMDB00145
CPD-5741	HMDB34436
CPD-17259	HMDB02170
NICOTINAMIDE_NUCLEOTIDE	HMDB00229
NARINGIN	HMDB02927
FE+3	HMDB12943
Pectin	HMDB03402
PHENOL	HMDB00228
THYMINE	HMDB00262
CPD-1242	HMDB01385
SUCC-S-ALD	HMDB01259
CPD-4821	HMDB15303
ERYTHRULOSE	HMDB06293
CPD-11408	HMDB03036
CPD-381	HMDB00694
PECTATE	HMDB03363
PHTYOSPHINGOSINE-1-P	HMDB12280
CIS-4-HYDROXY-D-PROLINE	HMDB60460
L-CYSTEATE	HMDB02757
CPD-109	HMDB02055
DELTA1-PIPERIDEINE-2-CARBOXYLATE	HMDB01084
CAFFEOYLQUINATE	HMDB03164
CHLOROPHYLL-B	HMDB31146
CPD-3361	HMDB37319
2-METHYL-BUTYRYL-COA	HMDB01041
CPD1F-119	HMDB03233
CPD-14702	HMDB04035
CPD-8667	HMDB02353
N-ACETYL-NEURAMINATE-9P	HMDB04381
SELENITE	HMDB11119
D-GALACTONO-1-4-LACTONE	HMDB02541
CPD-302	HMDB06483
HYDROXYNAPHTHOQUINONE	HMDB30773
CPD-8647	HMDB33723
5Z8Z11Z14Z17Z-EICOSAPENTAENOATE	HMDB01999
GAMMA-GLUTAMYL-PUTRESCINE	HMDB12230
BILIVERDINE	HMDB01008
MESACONATE	HMDB00749
CPD-10052	HMDB35622
L-CANALINE	HMDB12251
CPD-12846	HMDB40215
METHYLAMINE	HMDB00164
CPD-8255	HMDB35323
T2-DECENOYL-COA	HMDB03948
3-ALPHA7-ALPHA12-ALPHA-TRIHYDROX	HMDB03533
4-HYDROXYBENZALDEHYDE	HMDB11718
1235-TETRAHYDROXYBENZENE	HMDB12479
UDP	HMDB00295
CPD-8607	HMDB12160
RIBITOL	HMDB00508
Linalools	HMDB36100
2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE	HMDB11655
CPD-698	HMDB12196
CPD-730	HMDB36217
